category,nominee,artist,workers,name,year,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,decade,duration_s
Best Pop Solo Performance,Yummy,['Justin Bieber'],,Yummy,2020,49.70000000000001,34.5,67.6,208520,50.6,0.0,11.8,-665.2,76,9.58,145.842,2020,208.52
Best Pop Duo/Group Performance,Dynamite,['BTS'],,Dynamite,2020,73.7,1.12,74.6,199054,76.5,0.0,9.36,-441.0,97,9.93,114.044,2020,199.054
Best Pop Duo/Group Performance,Dynamite,['BTS'],,Dynamite,2020,73.7,1.12,74.6,199054,76.5,0.0,9.36,-441.0,81,9.93,114.044,2020,199.054
Song Of The Year,Don't Start Now,['Dua Lipa'],,Don't Start Now,2019,67.7,1.25,79.4,183290,79.3,0.0,9.52,-452.1,86,8.42,123.941,2010,183.29
Song Of The Year,Don't Start Now,['Dua Lipa'],,Don't Start Now,2020,67.9,1.23,79.3,183290,79.3,0.0,9.51,-452.1,84,8.3,123.95,2020,183.29
Best Pop Solo Performance,Don't Start Now,['Dua Lipa'],,Don't Start Now,2019,67.7,1.25,79.4,183290,79.3,0.0,9.52,-452.1,86,8.42,123.941,2010,183.29
Best Pop Solo Performance,Don't Start Now,['Dua Lipa'],,Don't Start Now,2020,67.9,1.23,79.3,183290,79.3,0.0,9.51,-452.1,84,8.3,123.95,2020,183.29
Best Rock Song,Kyoto,['Phoebe Bridgers'],,Kyoto,2020,49.3,4.88,59.9,184524,74.2,32.0,9.16,-688.6,68,4.19,131.014,2020,184.524
Best Rock Performance,Kyoto,['Phoebe Bridgers'],,Kyoto,2020,49.3,4.88,59.9,184524,74.2,32.0,9.16,-688.6,68,4.19,131.014,2020,184.524
Best Rock Song,Lost In Yesterday,['Tame Impala'],,Lost In Yesterday,2020,74.9,2.95,56.89999999999999,249587,84.0,0.0118,9.95,-412.3,72,11.8,183.05900000000003,2020,249.587
Best Rock Song,Stay High,['Juice WRLD'],Stay High,Stay High,2020,43.3,43.9,74.5,168685,50.0,0.0,9.43,-618.4,80,13.5,76.968,2020,168.685
Best Rock Performance,Stay High,['Juice WRLD'],,Stay High,2020,43.3,43.9,74.5,168685,50.0,0.0,9.43,-618.4,80,13.5,76.968,2020,168.685
Best Pop Duo/Group Performance,Intentions,"['Justin Bieber', 'Quavo']",,Intentions,2020,86.0,31.7,81.1,212869,55.3,0.0,10.5,-664.4,83,5.52,148.014,2020,212.869
Best Traditional R&B Performance,Distance,['Ruel'],,distance,2020,50.2,50.2,56.2,179213,32.9,0.0,56.2,-855.6000000000001,71,16.2,148.524,2020,179.213
Best R&B Performance,All I Need,['Slushii'],,All I Need,2020,55.1,0.374,82.0,225750,94.8,94.3,6.800000000000001,-315.4,73,9.2,123.991,2020,225.75
Best R&B Performance,Black Parade,['Beyoncé'],,BLACK PARADE,2020,6.11,0.337,82.4,281273,55.50000000000001,0.000642,21.7,-581.7,69,5.0,120.002,2020,281.273
Best R&B Song,Black Parade,['Beyoncé'],,BLACK PARADE,2020,6.11,0.337,82.4,281273,55.50000000000001,0.000642,21.7,-581.7,69,5.0,120.002,2020,281.273
Song Of The Year,Black Parade,['Beyoncé'],,BLACK PARADE,2020,6.11,0.337,82.4,281273,55.50000000000001,0.000642,21.7,-581.7,69,5.0,120.002,2020,281.273
Best Rap Song,Rockstar,"['Roddy Ricch', 'DaBaby']",,ROCKSTAR,2020,49.70000000000001,24.7,74.6,181733,69.0,0.0,10.1,-795.6,2,16.399999999999988,89.979,2020,181.733
Best Rap Song,Rockstar,"['Roddy Ricch', 'DaBaby']",,ROCKSTAR,2020,49.70000000000001,24.7,74.6,181733,69.0,0.0,10.1,-795.6,1,16.399999999999988,89.979,2020,181.733
Best Melodic Rap Performance,Rockstar,"['Roddy Ricch', 'DaBaby']",,ROCKSTAR,2020,49.70000000000001,24.7,74.6,181733,69.0,0.0,10.1,-795.6,2,16.399999999999988,89.979,2020,181.733
Best Melodic Rap Performance,Rockstar,"['Roddy Ricch', 'DaBaby']",,ROCKSTAR,2020,49.70000000000001,24.7,74.6,181733,69.0,0.0,10.1,-795.6,1,16.399999999999988,89.979,2020,181.733
Best Rap Song,Savage,['Megan Thee Stallion'],Savage,Savage,2020,68.0,2.52,84.3,155497,74.1,0.0,9.6,-560.9,80,33.4,168.983,2020,155.497
Best Rap Performance,Savage,['Megan Thee Stallion'],,Savage,2020,68.0,2.52,84.3,155497,74.1,0.0,9.6,-560.9,80,33.4,168.983,2020,155.497
Best Melodic Rap Performance,The Box,['Roddy Ricch'],,The Box,2019,64.2,10.4,89.6,196653,58.6,0.0,79.0,-668.7,89,5.59,116.971,2010,196.653
Best Melodic Rap Performance,Highest In The Room,['Travis Scott'],,HIGHEST IN THE ROOM,2019,6.05,5.46,59.8,175721,42.70000000000001,0.000583,21.0,-876.4,88,3.17,76.469,2010,175.721
Best Country Duo/Group Performance,Ocean,['Lady A'],,Ocean,2019,30.2,84.1,57.99999999999999,210113,36.0,0.000615,12.9,-793.0,68,3.03,99.194,2010,210.113
Best Country Duo/Group Performance,Some People Do,['Old Dominion'],,Some People Do,2019,32.29999999999999,85.6,63.2,196267,22.7,0.0,10.1,-945.9,64,3.78,112.81,2010,196.267
Best Country Solo Performance,Stick That In Your Country Song,['Eric Church'],,Stick That In Your Country Song,2020,40.5,6.58,53.6,228707,86.3,17.2,11.8,-508.1,68,3.62,89.979,2020,228.707
Best Country Solo Performance,Bluebird,['Miranda Lambert'],,Bluebird,2019,61.3,3.8,66.1,209760,63.3,0.000275,12.4,-598.6000000000001,72,3.4799999999999995,81.984,2010,209.76
Best Rap Song,The Bigger Picture,['Lil Baby'],,The Bigger Picture,2020,15.3,1.27,59.0,252729,61.8,0.0,24.4,-575.6,78,33.4,96.459,2020,252.729
Best Rap Song,The Bigger Picture,['Lil Baby'],,The Bigger Picture,2020,15.3,1.27,59.0,252729,61.8,0.0,24.4,-575.6,66,33.4,96.459,2020,252.729
Best Rap Performance,The Bigger Picture,['Lil Baby'],,The Bigger Picture,2020,15.3,1.27,59.0,252729,61.8,0.0,24.4,-575.6,78,33.4,96.459,2020,252.729
Best Rap Performance,The Bigger Picture,['Lil Baby'],,The Bigger Picture,2020,15.3,1.27,59.0,252729,61.8,0.0,24.4,-575.6,66,33.4,96.459,2020,252.729
Best Rap Performance,Bop,['DaBaby'],,BOP,2019,83.6,18.9,76.9,159715,78.7,0.0,12.9,-390.9,84,36.70000000000001,126.77,2010,159.715
Best Country Song,More Hearts Than Mine,['Ingrid Andress'],,More Hearts Than Mine,2019,40.0,11.2,57.3,214160,42.8,0.0,11.4,-741.4,66,2.63,80.907,2010,214.16
Best Country Song,More Hearts Than Mine,['Ingrid Andress'],,More Hearts Than Mine,2020,36.1,10.9,37.5,214787,42.8,0.0,10.5,-738.6999999999999,66,2.9000000000000004,78.516,2020,214.787
Best R&B Song,Do It,['Chloe x Halle'],,Do It,2020,56.60000000000001,9.32,72.5,176787,66.8,0.000233,11.2,-728.5999999999999,71,5.5,82.96600000000002,2020,176.787
Best R&B Song,Do It,['Chloe x Halle'],,Do It,2020,55.3,9.16,70.1,176787,66.8,0.0002089999999999,11.1,-728.7,70,5.16,82.978,2020,176.787
Best Contemporary Christian Music Performance/Song,Famous For (I Believe),"['Tauren Wells', 'Jenn Johnson']",,Famous For (I Believe),2020,21.0,29.9,44.9,242401,67.0,0.0,8.81,-640.9,65,4.58,171.947,2020,242.401
Best Rap Performance,Whats Poppin,['Jack Harlow'],,WHATS POPPIN,2020,82.6,1.7000000000000002,92.3,139741,60.4,0.0,27.200000000000003,-667.1,84,24.5,145.062,2020,139.741
Best American Roots Performance,Colors,['Black Pumas'],,Colors,2019,56.00000000000001,9.46,39.1,246587,69.2,0.00158,19.1,-654.2999999999997,58,4.62,180.00799999999995,2010,246.587
Best Pop Solo Performance,Colors,['Black Pumas'],,Colors,2019,56.00000000000001,9.46,39.1,246587,69.2,0.00158,19.1,-654.2999999999997,58,4.62,180.00799999999995,2010,246.587
Best Music Video,Adore You,['Harry Styles'],"Dave Meyers, video director; Nathan Scherrer, video producer",Adore You,2019,56.89999999999999,2.37,67.6,207133,77.1,0.0007,10.2,-367.5,88,4.83,99.048,2010,207.133
Best Music Video,Adore You,['Harry Styles'],"Dave Meyers, video director; Nathan Scherrer, video producer",Adore You,2019,56.89999999999999,2.37,67.6,207133,77.1,0.0007,10.2,-367.5,77,4.83,99.048,2010,207.133
Best Rock Performance,Daylight,"['Diplo', 'Joji']",,Daylight,2020,72.9,0.488,52.8,163906,74.9,0.0096,9.49,-757.1000000000001,80,4.79,163.94400000000005,2020,163.906
Best Pop Solo Performance,Say So,['Doja Cat'],,Say So,2019,78.6,25.6,78.7,237893,67.3,0.000357,9.04,-457.7,86,15.8,110.962,2010,237.893
Best R&B Song,Say So,['Doja Cat'],Say So,Say So,2019,78.6,25.6,78.7,237893,67.3,0.000357,9.04,-457.7,86,15.8,110.962,2010,237.893
Best Pop Solo Performance,Everything I Wanted,['Billie Eilish'],,everything i wanted,2019,24.3,90.2,70.4,245426,22.5,65.7,10.6,-1445.4,87,9.94,120.006,2010,245.426
Best Pop Solo Performance,Watermelon Sugar,['Harry Styles'],,Watermelon Sugar,2019,55.7,12.2,54.79999999999999,174000,81.6,0.0,33.5,-420.9,94,4.65,95.39,2010,174.0
Best Pop Solo Performance,Watermelon Sugar,['Harry Styles'],,Watermelon Sugar,2019,55.7,12.2,54.79999999999999,174000,81.6,0.0,33.5,-420.9,82,4.65,95.39,2010,174.0
Song Of The Year,Circles,['Mac Miller'],,Circles,2020,37.0,89.6,61.0,170360,3.16,0.461,10.8,-1518.6,69,4.859999999999999,151.964,2020,170.36
Best Music Video,Cellophane,['FKA twigs'],"Andrew Thomas Huang, video director; Alex Chamberlain, video producer",cellophane,2019,22.8,87.2,56.3,204067,28.3,0.0143,8.99,-1185.8,66,3.95,106.973,2010,204.067
Song Of The Year,Lover,['Taylor Swift'],,Lover,2019,45.3,49.20000000000001,35.9,221307,54.29999999999999,0.00158,11.8,-758.2000000000002,79,9.19,68.53399999999999,2010,221.307
Song Of The Year,Someone You Loved,['Lewis Capaldi'],,Someone You Loved,2019,44.6,75.1,50.1,182161,40.5,0.0,10.5,-567.9,91,3.19,109.891,2010,182.161
Song Of The Year,Someone You Loved,['Lewis Capaldi'],,Someone You Loved,2018,44.6,75.1,50.1,182161,40.5,0.0,10.5,-567.9,81,3.19,109.891,2010,182.161
Song Of The Year,Someone You Loved,['Lewis Capaldi'],,Someone You Loved,2020,44.7,75.1,50.1,182173,40.5,0.0,10.5,-567.9,0,3.2,109.889,2020,182.173
Song Of The Year,Someone You Loved,['Lewis Capaldi'],,Someone You Loved,2020,44.7,75.1,50.1,182173,40.5,0.0,10.5,-567.9,4,3.2,109.889,2020,182.173
Best Rock Song,Harmony Hall,['Vampire Weekend'],,Harmony Hall,2019,60.0,47.5,65.3,308733,76.0,0.0128999999999999,9.17,-608.6,65,4.79,98.008,2010,308.733
Best Pop Duo/Group Performance,Old Town Road,['Lil Nas X'],,Old Town Road,2019,50.7,5.779999999999999,90.7,113000,53.0,0.0002229999999999,10.1,-611.2,79,12.7,135.998,2010,113.0
Best R&B Performance,Roll Some Mo,['Lucky Daye'],,Roll Some Mo,2019,36.4,25.9,38.9,292885,50.7,4.41,14.2,-902.6,62,6.21,74.718,2010,292.885
Best R&B Song,Roll Some Mo,['Lucky Daye'],,Roll Some Mo,2019,36.4,25.9,38.9,292885,50.7,4.41,14.2,-902.6,62,6.21,74.718,2010,292.885
Best Rock Song,Fear Inoculum,['TOOL'],,Fear Inoculum,2019,15.9,0.0824,31.3,620101,58.4,52.0,5.29,-1009.1,63,4.15,87.89399999999998,2010,620.101
Best Metal Performance,Bow Down,['I Prevail'],,Bow Down,2019,37.20000000000001,0.00536,42.6,242680,95.9,0.000654,70.7,-495.0,68,5.25,155.01,2010,242.68
Best Pop Duo/Group Performance,Sucker,['Jonas Brothers'],,Sucker,2019,95.2,4.2700000000000005,84.2,181027,73.4,0.0,10.6,-506.50000000000006,83,5.88,137.958,2010,181.027
Best Rap/Sung Performance,Panini,['Lil Nas X'],,Panini,2019,47.5,34.2,70.3,114893,59.4,0.0,12.3,-614.6,75,7.52,153.84799999999996,2010,114.893
Best Rap/Sung Performance,Panini,['Lil Nas X'],,Panini,2019,47.5,34.2,70.3,114893,59.4,0.0,12.3,-614.6,73,7.52,153.84799999999996,2010,114.893
Best Country Solo Performance,God's Country,['Blake Shelton'],,God's Country,2019,21.7,6.08,53.79999999999999,205107,75.2,0.000539,11.8,-510.6,73,3.96,139.984,2010,205.107
Best Country Solo Performance,God's Country,['Blake Shelton'],,God's Country,2019,21.2,5.970000000000001,53.6,204800,75.4,0.000492,11.8,-510.2000000000001,68,3.99,139.988,2010,204.8
Best Rap Song,Suge,['DaBaby'],,Suge,2019,84.4,6.08,87.6,163320,66.2,0.0,12.7,-648.2,79,42.6,75.445,2010,163.32
Best Rap Performance,Suge,['DaBaby'],,Suge,2019,84.4,6.08,87.6,163320,66.2,0.0,12.7,-648.2,79,42.6,75.445,2010,163.32
Best R&B Performance,Love Again,"['Brandy', 'Daniel Caesar']",,LOVE AGAIN,2019,52.5,41.0,55.3,214278,44.1,0.000257,10.7,-641.1,65,9.18,76.988,2010,214.278
Best Rap Song,Bad Idea,['Ariana Grande'],,bad idea,2019,56.89999999999999,2.68,84.7,267107,57.9,5.45,10.2,-531.4,71,7.19,137.998,2010,267.107
Best Country Duo/Group Performance,I Don't Remember Me (Before You),['Brothers Osborne'],,I Don't Remember Me (Before You),2018,59.8,10.4,61.4,192680,61.4,0.00359,10.4,-749.7,64,3.14,146.03,2010,192.68
Best Country Duo/Group Performance,Speechless,['Dan + Shay'],,Speechless,2018,38.6,35.6,61.6,213387,43.8,0.0,24.0,-596.8,76,2.98,135.929,2010,213.387
Best Country Duo/Group Performance,Speechless,['Dan + Shay'],,Speechless,2018,41.8,32.800000000000004,63.1,212745,44.0,0.0,23.9,-594.8000000000001,65,2.8000000000000003,136.033,2010,212.745
"Best Arrangement, Instrumental or A Cappella",Hedwig's Theme,['John Williams'],,Hedwig's Theme,2001,7.7,89.7,15.6,309093,16.2,69.1,11.1,-1710.1,64,3.6,73.407,2000,309.093
Best Instrumental Composition,Hedwig's Theme,['John Williams'],,Hedwig's Theme,2001,7.7,89.7,15.6,309093,16.2,69.1,11.1,-1710.1,64,3.6,73.407,2000,309.093
Best Contemporary Christian Music Performance/Song,Haven't Seen It Yet,['Danny Gokey'],,Haven't Seen It Yet,2019,60.9,16.69999999999999,61.9,244067,68.6,0.0,11.4,-653.4,59,5.06,139.916,2010,244.067
Best Contemporary Christian Music Performance/Song,Rescue Story,['Zach Williams'],,Rescue Story,2019,36.6,33.5,55.89999999999999,237339,71.0,0.0,13.8,-614.0,61,4.33,146.05100000000004,2010,237.339
Best Country Song,It All Comes Out In The Wash,['Miranda Lambert'],,It All Comes Out in the Wash,2019,92.3,0.106,60.2,214787,73.0,0.0116,9.5,-492.5,59,3.1300000000000003,164.02900000000002,2010,214.787
Best Music Film,Homecoming,['Lil Uzi Vert'],,Homecoming,2020,35.3,0.0591999999999999,92.9,213885,56.3,0.0,24.4,-742.8,66,49.0,129.957,2020,213.885
Song Of The Year,Bad Guy,['Billie Eilish'],Bad Guy,bad guy,2019,56.2,32.800000000000004,70.1,194088,42.5,13.0,10.0,-1096.5,88,37.5,135.128,2010,194.088
Best Pop Solo Performance,Bad Guy,['Billie Eilish'],,bad guy,2019,56.2,32.800000000000004,70.1,194088,42.5,13.0,10.0,-1096.5,88,37.5,135.128,2010,194.088
Best Pop Solo Performance,You Need To Calm Down,['Taylor Swift'],,You Need To Calm Down,2019,71.4,0.929,77.1,171360,67.1,0.0,6.370000000000001,-561.7,80,5.53,85.02600000000002,2010,171.36
Song Of The Year,In My Blood,['Shawn Mendes'],,In My Blood,2018,48.7,5.73,62.2,211360,71.2,0.0,13.0,-732.1000000000001,78,6.6000000000000005,140.025,2010,211.36
Best Pop Duo/Group Performance,The Middle,"['Zedd', 'Grey', 'Maren Morris']",,The Middle,2018,43.70000000000001,17.1,75.3,184732,65.7,0.0,11.2,-306.1,82,4.49,107.01,2010,184.732
Song Of The Year,The Middle,"['Zedd', 'Grey', 'Maren Morris']",,The Middle,2018,43.70000000000001,17.1,75.3,184732,65.7,0.0,11.2,-306.1,82,4.49,107.01,2010,184.732
Best Pop Duo/Group Performance,Shallow,"['Bradley Cooper', 'Lady Gaga']",,Shallow,2018,32.29999999999999,37.1,57.2,215733,38.5,0.0,23.1,-636.2,85,3.08,95.799,2010,215.733
Best Song Written For Visual Media,Shallow,"['Bradley Cooper', 'Lady Gaga']",Shallow,Shallow,2018,32.29999999999999,37.1,57.2,215733,38.5,0.0,23.1,-636.2,85,3.08,95.799,2010,215.733
Song Of The Year,Shallow,"['Bradley Cooper', 'Lady Gaga']",,Shallow,2018,32.29999999999999,37.1,57.2,215733,38.5,0.0,23.1,-636.2,85,3.08,95.799,2010,215.733
Best Compilation Soundtrack For Visual Media,Stranger Things,"['Chris Brown', 'Joyner Lucas']","Matt Duffer, Ross Duffer & Timothy J. Smith, compilation producers; Nora Felder, music supervisor",Stranger Things,2018,48.1,44.3,86.7,219733,66.3,0.0,11.7,-583.8,68,17.8,121.978,2010,219.733
Best Pop Solo Performance,God Is A Woman,['Ariana Grande'],,God is a woman,2018,26.8,2.33,60.2,197547,65.8,0.006,23.7,-593.4,81,5.58,145.031,2010,197.547
Best Pop Solo Performance,Better Now,['Post Malone'],,Better Now,2018,34.1,33.1,68.0,231267,57.8,0.0,13.5,-580.4,84,4.0,145.03799999999995,2010,231.267
Best Song Written For Visual Media,Mystery Of Love,['Sufjan Stevens'],,Mystery of Love,2017,23.8,94.0,36.5,248965,27.3,43.1,10.9,-1652.6,62,3.8,132.285,2010,248.965
Best Song Written For Visual Media,Remember Me,['UMI'],,Remember Me,2018,52.6,45.6,84.0,199227,34.4,0.00336,35.0,-861.3,73,3.74,111.994,2010,199.227
Best Music Video,This Is America,['Childish Gambino'],,This Is America,2018,54.89999999999999,11.7,85.4,225773,46.3,0.0,35.4,-615.9,75,13.69999999999999,120.024,2010,225.773
Best Rap/Sung Performance,This Is America,['Childish Gambino'],,This Is America,2018,54.89999999999999,11.7,85.4,225773,46.3,0.0,35.4,-615.9,75,13.69999999999999,120.024,2010,225.773
Song Of The Year,This Is America,['Childish Gambino'],This Is America,This Is America,2018,54.89999999999999,11.7,85.4,225773,46.3,0.0,35.4,-615.9,75,13.69999999999999,120.024,2010,225.773
Best Music Film,The King,['Conan Gray'],"Eugene Jarecki, video director; Christopher Frierson, Georgina Hill, David Kuhn & Christopher St. John, video producers",The King,2019,85.4,6.43,64.3,174320,71.6,0.0,14.000000000000002,-673.3,67,9.15,81.027,2010,174.32
Best Music Video,I'm Not Racist,['Joyner Lucas'],"Joyner Lucas & Ben Proulx, video directors; Joyner Lucas, video producer",I'm Not Racist,2017,33.6,77.9,60.5,408064,61.3,0.0,9.81,-1047.9,59,86.9,63.764,2010,408.064
Best American Roots Performance,The Joke,['Brandi Carlile'],,The Joke,2018,22.7,32.7,23.6,279373,57.8,0.015,20.6,-547.7,59,4.04,75.367,2010,279.373
Best American Roots Song,The Joke,['Brandi Carlile'],The Joke,The Joke,2018,22.7,32.7,23.6,279373,57.8,0.015,20.6,-547.7,59,4.04,75.367,2010,279.373
Song Of The Year,The Joke,['Brandi Carlile'],,The Joke,2018,22.7,32.7,23.6,279373,57.8,0.015,20.6,-547.7,59,4.04,75.367,2010,279.373
Best Country Solo Performance,Millionaire,['Chris Stapleton'],,Millionaire,2017,49.3,19.2,61.6,210133,47.4,0.762,9.89,-960.8,69,2.66,142.689,2010,210.133
Best Country Solo Performance,Parallel Line,['Keith Urban'],,Parallel Line,2018,48.1,20.200000000000003,62.1,253084,47.7,0.0,21.5,-528.4,63,3.34,81.976,2010,253.084
Best Contemporary Christian Music Performance/Song,Reckless Love,['Cory Asbury'],,Reckless Love,2018,23.200000000000003,2.91,57.2,333386,68.5,0.0,9.63,-729.0,71,3.56,110.698,2010,333.386
Best Contemporary Christian Music Performance/Song,You Say,['Lauren Daigle'],You Say,You Say,2018,7.969999999999999,68.2,49.4,274693,63.2,0.0,8.690000000000001,-689.0,78,3.42,147.873,2010,274.693
Best Gospel Performance/Song,Won't He Do It,['Koryn Hawthorne'],,Won't He Do It,2017,73.0,12.0,62.9,209062,62.4,0.0,20.3,-497.5,57,7.449999999999999,140.042,2010,209.062
Best Rap/Sung Performance,Rockstar,['Call Me Karizma'],,Rockstar,2018,64.9,30.4,65.7,184286,87.7,0.0,37.6,-543.4,62,8.86,111.982,2010,184.286
Best Rap Performance,Be Careful,['Cardi B'],,Be Careful,2018,53.5,2.56,82.0,210787,56.8,0.0,9.52,-823.0,70,41.1,152.279,2010,210.787
Best Country Song,Break Up In The End,['Cole Swindell'],,Break Up in the End,2018,25.7,48.1,50.7,199693,37.20000000000001,0.0,27.1,-843.3,64,3.03,86.42200000000004,2010,199.693
Best R&B Song,Feels Like Summer,['Childish Gambino'],,Feels Like Summer,2018,25.5,16.2,55.39999999999999,297404,59.6,0.482,8.05,-821.4000000000001,72,13.0,165.72799999999995,2010,297.404
Best Rap Performance,Nice For What,['Drake'],,Nice For What,2018,75.8,8.91,58.5,210747,90.9,0.0097,11.9,-647.4,78,7.07,93.372,2010,210.747
Best Country Song,Tequila,['Dan + Shay'],,Tequila,2018,49.4,3.12,48.9,196747,58.1,0.0,13.2,-573.1,75,2.81,86.016,2010,196.747
Best Country Song,Tequila,['Dan + Shay'],,Tequila,2018,50.3,2.92,47.4,195987,59.4,0.0,13.3,-575.6,70,2.89,86.131,2010,195.987
Best Country Duo/Group Performance,Tequila,['Dan + Shay'],,Tequila,2018,49.4,3.12,48.9,196747,58.1,0.0,13.2,-573.1,75,2.81,86.016,2010,196.747
Best Country Duo/Group Performance,Tequila,['Dan + Shay'],,Tequila,2018,50.3,2.92,47.4,195987,59.4,0.0,13.3,-575.6,70,2.89,86.131,2010,195.987
Best Country Duo/Group Performance,When Someone Stops Loving You,['Little Big Town'],,When Someone Stops Loving You,2017,23.8,26.3,48.2,228373,70.7,0.0,11.5,-312.7,55,3.47,125.294,2010,228.373
Best R&B Song,Boo'd Up,['Ella Mai'],Boo'd Up,Boo'd Up,2017,23.5,8.62,56.10000000000001,256064,77.9,0.0,7.8,-510.7000000000001,72,5.3100000000000005,81.965,2010,256.064
Best R&B Song,Boo'd Up,['Ella Mai'],Boo'd Up,Boo'd Up,2018,22.0,15.8,39.7,239341,84.3,0.0,8.44,-372.6,61,9.87,81.20100000000002,2010,239.341
Song Of The Year,Boo'd Up,['Ella Mai'],,Boo'd Up,2017,23.5,8.62,56.10000000000001,256064,77.9,0.0,7.8,-510.7000000000001,72,5.3100000000000005,81.965,2010,256.064
Song Of The Year,Boo'd Up,['Ella Mai'],,Boo'd Up,2018,22.0,15.8,39.7,239341,84.3,0.0,8.44,-372.6,61,9.87,81.20100000000002,2010,239.341
Best Rap Song,Win,['Jay Rock'],,WIN,2018,35.5,1.52,87.9,215227,59.5,0.0,39.1,-293.6,66,8.89,125.994,2010,215.227
Best Rap Song,God's Plan,['Drake'],God's Plan,God's Plan,2018,35.7,3.32,75.4,198973,44.9,0.00829,55.2,-921.1,83,10.9,77.169,2010,198.973
Song Of The Year,God's Plan,['Drake'],,God's Plan,2018,35.7,3.32,75.4,198973,44.9,0.00829,55.2,-921.1,83,10.9,77.169,2010,198.973
Best Rap Performance,Bubblin,['Anderson .Paak'],,Bubblin,2018,54.7,7.31,56.8,209093,87.3,0.0,36.70000000000001,-522.0,63,26.5,106.783,2010,209.093
Best Country Song,Space Cowboy,['Kacey Musgraves'],Space Cowboy,Space Cowboy,2018,7.399999999999999,71.8,44.7,216280,42.9,1.63,10.5,-736.0,63,2.8000000000000003,116.521,2010,216.28
Best Rock Performance,Highway Tune,['Greta Van Fleet'],,Highway Tune,2017,50.6,0.96,58.20000000000001,180640,96.2,12.8,28.3,-303.7,69,5.42,123.971,2010,180.64
Best Traditional R&B Performance,Honest,['Bazzi'],,Honest,2018,42.70000000000001,30.9,67.7,175093,59.4,0.0,11.8,-626.4,62,6.950000000000001,76.99600000000002,2010,175.093
Best Rock Song,Jumpsuit,['Twenty One Pilots'],,Jumpsuit,2018,23.5,0.849,62.0,238560,61.0,16.2,20.5,-832.9000000000001,71,3.73,127.052,2010,238.56
Best Pop Duo/Group Performance,Girls Like You,['Maroon 5'],,Girls Like You,2018,37.7,55.8,61.1,215230,46.2,0.000101,13.1,-705.4,64,6.460000000000001,59.635,2010,215.23
Best Pop Solo Performance,Shape Of You,['Ed Sheeran'],,Shape of You,2017,93.1,58.1,82.5,233713,65.2,0.0,9.31,-318.3,85,8.02,95.977,2010,233.713
Best Pop Solo Performance,Shape Of You,['Ed Sheeran'],,Shape of You,2017,93.1,58.1,82.5,233713,65.2,0.0,9.31,-318.3,73,8.02,95.977,2010,233.713
Best Pop Solo Performance,What About Us,['P!nk'],,What About Us,2017,18.7,2.85,48.9,269600,58.8,0.000211,9.06,-617.7,75,5.07,113.617,2010,269.6
Best Song Written For Visual Media,How Far I'll Go,['Thomas Loof'],,How Far I'll Go,2017,13.69999999999999,99.4,35.4,248651,2.8400000000000003,95.8,12.9,-2571.6,61,4.38,139.832,2010,248.651
Song Of The Year,Issues,['Julia Michaels'],,Issues,2017,45.5,40.1,72.8,176320,41.5,0.0,6.16,-685.2,69,6.39,114.145,2010,176.32
